,Buy,Sell,Type
355,2012-03-31T00:00:00.000000000,2012-04-03T00:00:00.000000000,2
356,2012-04-30T00:00:00.000000000,2012-05-03T00:00:00.000000000,2
357,2012-05-31T00:00:00.000000000,2012-06-03T00:00:00.000000000,2
358,2012-06-30T00:00:00.000000000,2012-07-03T00:00:00.000000000,2
359,2012-07-31T00:00:00.000000000,2012-08-03T00:00:00.000000000,2
360,2012-08-31T00:00:00.000000000,2012-09-03T00:00:00.000000000,2
361,2012-09-30T00:00:00.000000000,2012-10-03T00:00:00.000000000,2
362,2012-10-31T00:00:00.000000000,2012-11-03T00:00:00.000000000,2
363,2012-11-30T00:00:00.000000000,2012-12-03T00:00:00.000000000,2
364,2012-12-31T00:00:00.000000000,2013-01-03T00:00:00.000000000,2
365,2013-01-31T00:00:00.000000000,2013-02-03T00:00:00.000000000,2
